Route,BaselineMeanTrips,EventMeanTrips,AdditionalTrips,PercentChange
1,474.35445757250267,392.27272727272725,-82.08173029977542,-17.303880882626604
2,1458.65,1267.090909090909,-191.55909090909108,-13.132628862927437
3,516.1039657020365,307.8,-208.30396570203646,-40.36085353823789
4,843.3604166666667,810.0909090909091,-33.26950757575753,-3.944874210157187
5,2467.13125,2021.8181818181818,-445.31306818181815,-18.049832905396425
6,841.014799154334,537.6363636363636,-303.3784355179704,-36.07290095525389
8,742.7534391534391,369.72727272727275,-373.02616642616636,-50.222071923534514
9,468.61755485893417,400.6363636363636,-67.98119122257054,-14.506753005237845
12,1347.1220020855058,1011.9090909090909,-335.2129111764149,-24.883634196269178
14,498.4066882416397,427.27272727272725,-71.13396096891245,-14.272272553137363
15,1753.671875,1423.2727272727273,-330.39914772727275,-18.84042006018217
19,1304.8915537017726,801.1818181818181,-503.7097355199545,-38.60165498742091
21,2305.535490605428,1923.0,-382.5354906054281,-16.59204519575516
24,338.3602094240838,255.0,-83.36020942408379,-24.636528499012798
25,428.6006256517205,397.27272727272725,-31.327898378993268,-7.309344994855471
26,690.7463312368973,526.3636363636364,-164.3826948732609,-23.79783828585902
27,627.3541226215644,347.45454545454544,-279.899577167019,-44.61588233410899
30,1043.0052192066805,805.2727272727273,-237.73249193395327,-22.793029944258077
32,797.8934169278997,562.0909090909091,-235.80250783699057,-29.553133643449836
34,457.6873032528856,361.1818181818182,-96.50548507106743,-21.085462582243693
36,948.311974789916,678.0,-270.311974789916,-28.504540908048693
37,474.0833333333333,381.27272727272725,-92.81060606060606,-19.576854855462695
39,4181.046923879041,3588.3636363636365,-592.6832875154046,-14.175475623830886
40,559.9137001078749,416.27272727272725,-143.64097283514764,-25.654127199865496
42,1023.423640167364,842.9090909090909,-180.51454925827318,-17.638301693788605
47,669.984375,592.0909090909091,-77.89346590909088,-11.626161566691891
49,975.196875,737.7272727272727,-237.46960227272723,-24.350939626701248
50,1338.4215481171548,905.3636363636364,-433.0579117535184,-32.35586817641492
51,2931.309375,2328.2727272727275,-603.0366477272723,-20.572262104789687
55,1345.2052083333333,1067.090909090909,-278.1142992424243,-20.67448873373001
58,565.0010905125409,420.7,-144.30109051254095,-25.539966724955903
60,1549.001050420168,1360.909090909091,-188.091959511077,-12.142790959377134
66,698.6398747390397,1341.2727272727273,642.6328525336876,91.98342032420177
68,721.9249471458774,1057.090909090909,335.16596194503165,46.42670450302441
71,1833.1354166666667,1637.090909090909,-196.04450757575773,-10.69449129580622
73,2303.769551616267,1633.090909090909,-670.6786425253581,-29.112227915974785
74,1281.0553235908142,1111.2727272727273,-169.78259631808692,-13.253338336878704
75,718.8732694355698,438.54545454545456,-280.32781489011523,-38.995442842132285
78,2191.240625,1827.909090909091,-363.3315340909089,-16.58108789813574
79,635.6470588235294,583.0909090909091,-52.55614973262027,-8.268133865024474
81,1003.4890510948906,861.4545454545455,-142.03450564034506,-14.154066303501123
82,1284.9395833333333,1043.6363636363637,-241.30321969696956,-18.77934362259986
83,3401.569791666667,2991.181818181818,-410.38797348484877,-12.06466421739273
84,1163.0094240837695,970.8181818181819,-192.19124226558768,-16.525338340830544
85,602.3076120959332,504.6363636363636,-97.6712484595696,-16.216173679042413
86,2310.3118503118503,1861.090909090909,-449.2209412209413,-19.444169026804957
87,1174.6052083333334,794.3636363636364,-380.241571969697,-32.37186156438281
89,2553.579166666667,2248.818181818182,-304.7609848484849,-11.934659744514867
93,1091.0385818561,871.7272727272727,-219.31130912882736,-20.101150662860142
94,958.25,507.09090909090907,-451.15909090909093,-47.0815644048099
95,2008.9135416666666,1418.090909090909,-590.8226325757576,-29.41005774124007
102,1809.884375,1620.1818181818182,-189.70255681818185,-10.481473813385556
103,518.6186974789916,394.27272727272725,-124.34597020626438,-23.9763762492002
104,542.9833159541189,390.0,-152.9833159541189,-28.174588695289803
107,1246.3648648648648,988.6363636363636,-257.72850122850116,-20.678415165084502
110,2401.3298647242455,1961.8181818181818,-439.5116829060637,-18.30284499279047
111,1862.2785862785863,1508.2727272727273,-354.00585900585907,-19.00928580794527
114,709.7805907172996,580.8181818181819,-128.9624088991177,-18.169334381035853
115,3075.2833333333333,2533.909090909091,-541.3742424242423,-17.60404436743202
116,1974.6020833333334,1698.2727272727273,-276.3293560606062,-13.994179302907122
117,1701.9186652763294,1359.7272727272727,-342.1913925490567,-20.106213036537635
119,1630.4114583333333,1288.6363636363637,-341.7750946969695,-20.962505688370506
120,1053.839248434238,845.7272727272727,-208.11197570696527,-19.74798110965896
121,2411.1520833333334,1971.8181818181818,-439.33390151515164,-18.220912092272002
123,337.15618221258137,224.72727272727272,-112.42890948530865,-33.34623993767398
124,938.7486965589155,731.0,-207.74869655891553,-22.13038455557283
125,2379.688541666667,1766.5454545454545,-613.1430871212124,-25.765686407507104
126,542.5052083333334,531.4545454545455,-11.050662878787875,-2.0369689929313965
132,414.56705385427665,234.27272727272728,-180.29432658154937,-43.48978649058884
133,564.0229645093946,438.54545454545456,-125.47750996394001,-22.246879623613268
140,660.8104166666667,466.54545454545456,-194.26496212121214,-29.397987262541204
141,902.1041666666666,724.8181818181819,-177.28598484848476,-19.65249595327422
142,62.87594553706505,80.5,17.62405446293495,28.029883785279473
143,299.7112781954887,302.5,2.788721804511283,0.9304694242077605
148,68.46166394779772,92.5,24.038336052202283,35.11211189744323
150,146.5355249204666,98.81818181818181,-47.71734310228479,-32.56366886335841
153,797.2331932773109,737.6363636363636,-59.59682964094725,-7.47545763817902
155,763.2950990615224,624.0909090909091,-139.20418997061324,-18.237270243417775
162,737.0725108225108,557.8181818181819,-179.25432900432895,-24.319768594313228
165,2121.436458333333,1741.7272727272727,-379.7091856060604,-17.898682947325785
172,1490.8415015641292,1213.909090909091,-276.9324106550382,-18.57557697209879
178,631.9238095238095,435.54545454545456,-196.37835497835493,-31.076270907775605
180,915.3913955928647,691.3636363636364,-224.0277592292283,-24.473439482587
181,1782.6010416666666,1267.1818181818182,-515.4192234848483,-28.913885464969226
183,681.5169133192389,606.6363636363636,-74.88054968287531,-10.987335489324748
185,727.5369406867846,531.2727272727273,-196.2642134140574,-26.97652894831522
186,1500.7212943632567,1136.2727272727273,-364.4485670905294,-24.28489343487072
188,233.77660695468916,161.9090909090909,-71.86751604559825,-30.74196215856948
189,1080.690625,956.6363636363636,-124.05426136363633,-11.479165127728978
