gamePk,event_name,game_date,home_team,away_team,venue_name,venue_id
778003,Cincinnati Reds at Atlanta Braves,2025-05-08,Atlanta Braves,Cincinnati Reds,Truist Park,4705
777959,Washington Nationals at Atlanta Braves,2025-05-12,Atlanta Braves,Washington Nationals,Truist Park,4705
777942,Washington Nationals at Atlanta Braves,2025-05-13,Atlanta Braves,Washington Nationals,Truist Park,4705
777929,Washington Nationals at Atlanta Braves,2025-05-14,Atlanta Braves,Washington Nationals,Truist Park,4705
777909,Washington Nationals at Atlanta Braves,2025-05-15,Atlanta Braves,Washington Nationals,Truist Park,4705
777813,San Diego Padres at Atlanta Braves,2025-05-23,Atlanta Braves,San Diego Padres,Truist Park,4705
777803,San Diego Padres at Atlanta Braves,2025-05-24,Atlanta Braves,San Diego Padres,Truist Park,4705
777783,San Diego Padres at Atlanta Braves,2025-05-25,Atlanta Braves,San Diego Padres,Truist Park,4705
777719,Boston Red Sox at Atlanta Braves,2025-05-30,Atlanta Braves,Boston Red Sox,Truist Park,4705
777706,Boston Red Sox at Atlanta Braves,2025-05-31,Atlanta Braves,Boston Red Sox,Truist Park,4705
777692,Boston Red Sox at Atlanta Braves,2025-06-01,Atlanta Braves,Boston Red Sox,Truist Park,4705
777672,Arizona Diamondbacks at Atlanta Braves,2025-06-03,Atlanta Braves,Arizona Diamondbacks,Truist Park,4705
777654,Arizona Diamondbacks at Atlanta Braves,2025-06-04,Atlanta Braves,Arizona Diamondbacks,Truist Park,4705
777640,Arizona Diamondbacks at Atlanta Braves,2025-06-05,Atlanta Braves,Arizona Diamondbacks,Truist Park,4705
777535,Colorado Rockies at Atlanta Braves,2025-06-13,Atlanta Braves,Colorado Rockies,Truist Park,4705
777523,Colorado Rockies at Atlanta Braves,2025-06-14,Atlanta Braves,Colorado Rockies,Truist Park,4705
777504,Colorado Rockies at Atlanta Braves,2025-06-15,Atlanta Braves,Colorado Rockies,Truist Park,4705
777489,New York Mets at Atlanta Braves,2025-06-17,Atlanta Braves,New York Mets,Truist Park,4705
777470,New York Mets at Atlanta Braves,2025-06-18,Atlanta Braves,New York Mets,Truist Park,4705
