gamePk,event_name,game_date,home_team,away_team,venue_name,venue_id
747131,Cleveland Guardians at Atlanta Braves,2024-04-27,Atlanta Braves,Cleveland Guardians,Truist Park,4705
747125,Cleveland Guardians at Atlanta Braves,2024-04-28,Atlanta Braves,Cleveland Guardians,Truist Park,4705
747126,Boston Red Sox at Atlanta Braves,2024-05-07,Atlanta Braves,Boston Red Sox,Truist Park,4705
747127,Boston Red Sox at Atlanta Braves,2024-05-08,Atlanta Braves,Boston Red Sox,Truist Park,4705
747128,Chicago Cubs at Atlanta Braves,2024-05-13,Atlanta Braves,Chicago Cubs,Truist Park,4705
747124,Chicago Cubs at Atlanta Braves,2024-05-14,Atlanta Braves,Chicago Cubs,Truist Park,4705
747123,Chicago Cubs at Atlanta Braves,2024-05-15,Atlanta Braves,Chicago Cubs,Truist Park,4705
747122,San Diego Padres at Atlanta Braves,2024-05-17,Atlanta Braves,San Diego Padres,Truist Park,4705
747121,San Diego Padres at Atlanta Braves,2024-05-18,Atlanta Braves,San Diego Padres,Truist Park,4705
747120,San Diego Padres at Atlanta Braves,2024-05-19,Atlanta Braves,San Diego Padres,Truist Park,4705
747119,San Diego Padres at Atlanta Braves,2024-05-20,Atlanta Braves,San Diego Padres,Truist Park,4705
747118,Washington Nationals at Atlanta Braves,2024-05-27,Atlanta Braves,Washington Nationals,Truist Park,4705
747115,Washington Nationals at Atlanta Braves,2024-05-28,Atlanta Braves,Washington Nationals,Truist Park,4705
747117,Washington Nationals at Atlanta Braves,2024-05-29,Atlanta Braves,Washington Nationals,Truist Park,4705
747114,Washington Nationals at Atlanta Braves,2024-05-30,Atlanta Braves,Washington Nationals,Truist Park,4705
747116,Oakland Athletics at Atlanta Braves,2024-05-31,Atlanta Braves,Oakland Athletics,Truist Park,4705
747111,Oakland Athletics at Atlanta Braves,2024-06-01,Atlanta Braves,Oakland Athletics,Truist Park,4705
747110,Oakland Athletics at Atlanta Braves,2024-06-02,Atlanta Braves,Oakland Athletics,Truist Park,4705
747112,Tampa Bay Rays at Atlanta Braves,2024-06-14,Atlanta Braves,Tampa Bay Rays,Truist Park,4705
747113,Tampa Bay Rays at Atlanta Braves,2024-06-15,Atlanta Braves,Tampa Bay Rays,Truist Park,4705
747109,Tampa Bay Rays at Atlanta Braves,2024-06-16,Atlanta Braves,Tampa Bay Rays,Truist Park,4705
747108,Detroit Tigers at Atlanta Braves,2024-06-17,Atlanta Braves,Detroit Tigers,Truist Park,4705
747107,Detroit Tigers at Atlanta Braves,2024-06-18,Atlanta Braves,Detroit Tigers,Truist Park,4705
747106,Detroit Tigers at Atlanta Braves,2024-06-19,Atlanta Braves,Detroit Tigers,Truist Park,4705
747105,Pittsburgh Pirates at Atlanta Braves,2024-06-28,Atlanta Braves,Pittsburgh Pirates,Truist Park,4705
747104,Pittsburgh Pirates at Atlanta Braves,2024-06-29,Atlanta Braves,Pittsburgh Pirates,Truist Park,4705
747101,Pittsburgh Pirates at Atlanta Braves,2024-06-30,Atlanta Braves,Pittsburgh Pirates,Truist Park,4705
747102,San Francisco Giants at Atlanta Braves,2024-07-02,Atlanta Braves,San Francisco Giants,Truist Park,4705
747100,San Francisco Giants at Atlanta Braves,2024-07-03,Atlanta Braves,San Francisco Giants,Truist Park,4705
747103,San Francisco Giants at Atlanta Braves,2024-07-04,Atlanta Braves,San Francisco Giants,Truist Park,4705
747097,Philadelphia Phillies at Atlanta Braves,2024-07-05,Atlanta Braves,Philadelphia Phillies,Truist Park,4705
747099,Philadelphia Phillies at Atlanta Braves,2024-07-06,Atlanta Braves,Philadelphia Phillies,Truist Park,4705
747098,Philadelphia Phillies at Atlanta Braves,2024-07-07,Atlanta Braves,Philadelphia Phillies,Truist Park,4705
747093,St. Louis Cardinals at Atlanta Braves,2024-07-19,Atlanta Braves,St. Louis Cardinals,Truist Park,4705
747096,St. Louis Cardinals at Atlanta Braves,2024-07-20,Atlanta Braves,St. Louis Cardinals,Truist Park,4705
747094,St. Louis Cardinals at Atlanta Braves,2024-07-21,Atlanta Braves,St. Louis Cardinals,Truist Park,4705
747095,Cincinnati Reds at Atlanta Braves,2024-07-22,Atlanta Braves,Cincinnati Reds,Truist Park,4705
747090,Cincinnati Reds at Atlanta Braves,2024-07-23,Atlanta Braves,Cincinnati Reds,Truist Park,4705
747091,Cincinnati Reds at Atlanta Braves,2024-07-24,Atlanta Braves,Cincinnati Reds,Truist Park,4705
747092,Miami Marlins at Atlanta Braves,2024-08-01,Atlanta Braves,Miami Marlins,Truist Park,4705
747089,Miami Marlins at Atlanta Braves,2024-08-02,Atlanta Braves,Miami Marlins,Truist Park,4705
747087,Miami Marlins at Atlanta Braves,2024-08-03,Atlanta Braves,Miami Marlins,Truist Park,4705
747088,Miami Marlins at Atlanta Braves,2024-08-04,Atlanta Braves,Miami Marlins,Truist Park,4705
747086,Milwaukee Brewers at Atlanta Braves,2024-08-06,Atlanta Braves,Milwaukee Brewers,Truist Park,4705
747085,Milwaukee Brewers at Atlanta Braves,2024-08-07,Atlanta Braves,Milwaukee Brewers,Truist Park,4705
