game_date,league,home_team,event_name,venue_name,longitude,latitude
2023-11-05,NBA,Atlanta Hawks,New Orleans at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2023-11-07,NBA,Atlanta Hawks,Milwaukee at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2023-11-09,NBA,Atlanta Hawks,Utah at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2023-11-10,NBA,Atlanta Hawks,Philadelphia at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2023-11-16,NBA,Atlanta Hawks,Boston at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2023-11-19,NBA,Atlanta Hawks,Toronto at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2023-11-23,NBA,Atlanta Hawks,Sacramento at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2023-11-27,NBA,Atlanta Hawks,Miami at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2023-12-02,NBA,Atlanta Hawks,Denver at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2023-12-05,NBA,Atlanta Hawks,Oklahoma City at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2023-12-11,NBA,Atlanta Hawks,Chicago at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2023-12-19,NBA,Atlanta Hawks,Orlando at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2023-12-21,NBA,Atlanta Hawks,Chicago at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2023-12-23,NBA,Atlanta Hawks,Detroit at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2023-12-28,NBA,Atlanta Hawks,Brooklyn at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2023-12-30,NBA,Atlanta Hawks,Los Angeles at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-01-11,NBA,Atlanta Hawks,Milwaukee at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-01-16,NBA,Atlanta Hawks,Miami at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-01-20,NBA,Atlanta Hawks,New York at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-01-21,NBA,Atlanta Hawks,Charlotte at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-01-28,NBA,Atlanta Hawks,LA at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-02-09,NBA,Atlanta Hawks,Phoenix at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-02-11,NBA,Atlanta Hawks,San Antonio at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-02-15,NBA,Atlanta Hawks,New York at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-02-24,NBA,Atlanta Hawks,Cleveland at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-02-25,MLB,Atlanta Braves,Boston Red Sox at Atlanta Braves,CoolToday Park,-82.319747,27.032414
2024-02-26,MLB,Atlanta Braves,Baltimore Orioles at Atlanta Braves,CoolToday Park,-82.319747,27.032414
2024-02-26,NBA,Atlanta Hawks,Brooklyn at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-02-28,NBA,Atlanta Hawks,Washington at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-02-29,MLB,Atlanta Braves,Minnesota Twins at Atlanta Braves,CoolToday Park,-82.319747,27.032414
2024-03-01,MLB,Atlanta Braves,Baltimore Orioles at Atlanta Braves,CoolToday Park,-82.319747,27.032414
2024-03-03,NBA,Atlanta Hawks,Portland at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-03-03,MLB,Atlanta Braves,Philadelphia Phillies at Atlanta Braves,CoolToday Park,-82.319747,27.032414
2024-03-05,MLB,Atlanta Braves,Detroit Tigers at Atlanta Braves,CoolToday Park,-82.319747,27.032414
2024-03-08,MLB,Atlanta Braves,Pittsburgh Pirates at Atlanta Braves,CoolToday Park,-82.319747,27.032414
2024-03-09,MLB,Atlanta Braves,Baltimore Orioles at Atlanta Braves,CoolToday Park,-82.319747,27.032414
2024-03-09,MLS,Atlanta United FC,New England Revolution at Atlanta United FC,Mercedes-Benz Stadium,-84.401993,33.755489
2024-03-11,NBA,Atlanta Hawks,Boston at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-03-11,MLB,Atlanta Braves,Minnesota Twins at Atlanta Braves,CoolToday Park,-82.319747,27.032414
